TrialNo	MovNo	NrOfCycles	X	Y	Z	Rz	Fx	Fx_control	Fy	Fy_control	Fz	Fz_control	TrigCam	Relative	Acc
1	1	1000	0	0	0	0	0	0	0	0	0	0	0	1	100000
1	2	20	0	0	0	0	0	0	0	0	0	0	0	1	100000
1	3	100	0	0	-10	0	0	0	0	0	0	0	0	1	100000
1	4	25	0	0	-10	0	0	0	0	0	0	0	0	1	100000
1	5	100	0	0	0	0	0	0	0	0	0	0	0	1	100000
2	1	1000	0	0	0	0	0	0	0	0	0	0	0	1	100000
2	2	20	0	0	0	0	0	0	0	0	0	0	0	1	100000
2	3	100	0	0	-10	0	0	0	0	0	0	0	0	1	100000
2	4	25	0	0	-10	0	0	0	0	0	0	0	0	1	100000
2	5	100	0	0	0	0	0	0	0	0	0	0	0	1	100000
3	1	1000	0	0	0	0	0	0	0	0	0	0	0	1	100000
3	2	20	0	0	0	0	0	0	0	0	0	0	0	1	100000
3	3	100	0	0	-10	0	0	0	0	0	0	0	0	1	100000
3	4	25	0	0	-10	0	0	0	0	0	0	0	0	1	100000
3	5	100	0	0	0	0	0	0	0	0	0	0	0	1	100000
4	1	1000	0	0	0	0	0	0	0	0	0	0	0	1	100000
4	2	20	0	0	0	0	0	0	0	0	0	0	0	1	100000
4	3	100	0	0	-10	0	0	0	0	0	0	0	0	1	100000
4	4	25	0	0	-10	0	0	0	0	0	0	0	0	1	100000
4	5	100	0	0	0	0	0	0	0	0	0	0	0	1	100000
5	1	1000	0	0	0	0	0	0	0	0	0	0	0	1	100000
5	2	20	0	0	0	0	0	0	0	0	0	0	0	1	100000
5	3	100	0	0	-10	0	0	0	0	0	0	0	0	1	100000
5	4	25	0	0	-10	0	0	0	0	0	0	0	0	1	100000
5	5	100	0	0	0	0	0	0	0	0	0	0	0	1	100000
6	1	1000	0	0	0	0	0	0	0	0	0	0	0	1	100000
6	2	20	0	0	0	0	0	0	0	0	0	0	0	1	100000
6	3	100	0	0	-10	0	0	0	0	0	0	0	0	1	100000
6	4	25	0	0	-10	0	0	0	0	0	0	0	0	1	100000
6	5	100	0	0	0	0	0	0	0	0	0	0	0	1	100000
7	1	1000	0	0	0	0	0	0	0	0	0	0	0	1	100000
7	2	20	0	0	0	0	0	0	0	0	0	0	0	1	100000
7	3	100	0	0	-10	0	0	0	0	0	0	0	0	1	100000
7	4	25	0	0	-10	0	0	0	0	0	0	0	0	1	100000
